"Time  (sec)","Volume  (cm3)","Temperature  (K)","Pressure  (bar)","Mole_fraction_AR  ()","Mole_fraction_HE  ()","Mole_fraction_N2  ()","Mole_fraction_H2  ()","Mole_fraction_H  ()","Mole_fraction_O  ()","Mole_fraction_O2  ()","Mole_fraction_OH  ()","Mole_fraction_H2O  ()","Mole_fraction_HO2  ()","Mole_fraction_H2O2  ()","Mole_fraction_CO  ()","Mole_fraction_CO2  ()","Mole_fraction_C  ()","Mole_fraction_CH  ()","Mole_fraction_CH2  ()","Mole_fraction_CH2(S)  ()","Mole_fraction_CH3  ()","Mole_fraction_CH4  ()","Mole_fraction_HCO  ()","Mole_fraction_CH2O  ()","Mole_fraction_CH2OH  ()","Mole_fraction_CH3O  ()","Mole_fraction_CH3OH  ()","Mole_fraction_C2H  ()","Mole_fraction_C2H2  ()","Mole_fraction_C2H3  ()","Mole_fraction_C2H4  ()","Mole_fraction_C2H5  ()","Mole_fraction_C2H6  ()","Mole_fraction_HCCO  ()","Mole_fraction_CH2CO  ()","Mole_fraction_CH2CHO  ()","Mole_fraction_CH3CHO  ()","Mole_fraction_CH3CO  ()","Mole_fraction_H2CC  ()","Mole_fraction_OH*  ()","Mole_fraction_CH*  ()","Specific_heat_Cp  (erg/g-K)","Heat_capacity_ratio  ()","Entropy  (erg/g-K)","Ppmvd15%O2_CO  (ppm)"
0.057,1,2422.406,1.374111,0.9451667,1.081152E-22,0,4.721849E-05,0.0001282114,0.0007035879,0.0185546,0.0005354712,0.001347488,1.229938E-07,6.880797E-10,0.00272622,0.03079033,9.201973E-16,4.096675E-18,3.4342E-19,2.570086E-20,1.179619E-19,2.512603E-21,2.026918E-10,1.537138E-13,9.804362E-20,5.452912E-21,2.92401E-22,4.277123E-24,2.647417E-23,3.246622E-29,1.268072E-30,1.398914E-36,6.090084E-39,2.028016E-20,2.918361E-21,4.730934E-28,6.323859E-30,2.469381E-27,1.960991E-26,3.381423E-12,1.669632E-24,6406175,1.483406,52766110,855.6764
0.058,1,2422.562,1.374192,0.9451718,-5.414973E-24,0,4.710674E-05,0.0001276717,0.0007014458,0.01855208,0.0005348497,0.00134819,1.227626E-07,6.861095E-10,0.002718924,0.03079781,9.168847E-16,4.076162E-18,3.419645E-19,2.559168E-20,1.172896E-19,2.500917E-21,2.014014E-10,1.529976E-13,9.722091E-20,5.403456E-21,2.903677E-22,4.230561E-24,2.729854E-23,3.21987E-29,1.260907E-30,1.383708E-36,6.051563E-39,2.017924E-20,2.905768E-21,4.689751E-28,6.260647E-30,2.448761E-27,2.003739E-26,3.378919E-12,1.662739E-24,6406201,1.4834,52766110,853.376
0.059,1,2422.709,1.374268,0.9451765,2.078181E-24,0,4.700166E-05,0.0001271654,0.0006994346,0.01854971,0.0005342647,0.001348849,1.225455E-07,6.842592E-10,0.002712069,0.03080483,9.137706E-16,4.056956E-18,3.40601E-19,2.548939E-20,1.166612E-19,2.489983E-21,2.001938E-10,1.523259E-13,9.645262E-20,5.357293E-21,2.884672E-22,4.258751E-24,2.604377E-23,3.261963E-29,1.268276E-30,1.340219E-36,5.947879E-39,2.008497E-20,2.893724E-21,4.651644E-28,6.189449E-30,2.4295E-27,1.918208E-26,3.376568E-12,1.656295E-24,6406226,1.483393,52766110,851.2145
0.06,1,2422.846,1.37434,0.945181,-6.200542E-26,0,4.690284E-05,0.0001266904,0.0006975459,0.01854749,0.000533714,0.001349469,1.223418E-07,6.82521E-10,0.002705627,0.03081143,9.108427E-16,4.038968E-18,3.393232E-19,2.539352E-20,1.160739E-19,2.479788E-21,1.99063E-10,1.516957E-13,9.573473E-20,5.314178E-21,2.866902E-22,4.238209E-24,2.459802E-23,3.285236E-29,1.269077E-30,1.300474E-36,5.838775E-39,1.999691E-20,2.882395E-21,4.616161E-28,6.118111E-30,2.411501E-27,1.827532E-26,3.374362E-12,1.65025E-24,6406249,1.483387,52766110,849.1832
0.061,1,2422.976,1.374407,0.9451852,7.116015E-24,0,4.680992E-05,0.0001262446,0.0006957718,0.0185454,0.0005331956,0.001350052,1.221505E-07,6.808879E-10,0.002699571,0.03081763,9.080897E-16,4.022113E-18,3.381252E-19,2.530364E-20,1.155227E-19,2.47021E-21,1.98004E-10,1.511045E-13,9.506344E-20,5.273878E-21,2.850269E-22,4.188114E-24,2.622213E-23,3.157332E-29,1.235097E-30,1.323093E-36,5.830024E-39,1.991394E-20,2.872061E-21,4.582584E-28,6.061642E-30,2.394672E-27,1.924009E-26,3.372289E-12,1.644573E-24,6406271,1.483382,52766120,847.2738
0.062,1,2423.098,1.374471,0.9451891,2.404388E-23,0,4.672254E-05,0.0001258262,0.0006941052,0.01854343,0.0005327074,0.0013506,1.219708E-07,6.793533E-10,0.002693878,0.03082347,9.055007E-16,4.006316E-18,3.370017E-19,2.521934E-20,1.150051E-19,2.46118E-21,1.970117E-10,1.505498E-13,9.443552E-20,5.236196E-21,2.834694E-22,4.182496E-24,2.697934E-23,3.103054E-29,1.221366E-30,1.320921E-36,5.79786E-39,1.983585E-20,2.862286E-21,4.551226E-28,6.009487E-30,2.378928E-27,1.963556E-26,3.370342E-12,1.639249E-24,6406292,1.483376,52766120,845.479
0.063,1,2423.212,1.37453,0.9451928,3.66399E-23,0,4.664034E-05,0.0001254333,0.0006925391,0.01854159,0.0005322478,0.001351115,1.21802E-07,6.77911E-10,0.002688526,0.03082895,9.030658E-16,3.991505E-18,3.359479E-19,2.514026E-20,1.14521E-19,2.452735E-21,1.960816E-10,1.50029E-13,9.384806E-20,5.200955E-21,2.820114E-22,4.185487E-24,2.511603E-23,3.178741E-29,1.236452E-30,1.272419E-36,5.694572E-39,1.976292E-20,2.852859E-21,4.522244E-28,5.952513E-30,2.364195E-27,1.846124E-26,3.368513E-12,1.63426E-24,6406311,1.483371,52766120,843.7915
0.064,1,2423.32,1.374586,0.9451963,4.192763E-23,0,4.656299E-05,0.0001250643,0.0006910674,0.01853985,0.0005318151,0.0013516,1.216434E-07,6.765553E-10,0.002683493,0.03083411,9.007755E-16,3.977615E-18,3.349593E-19,2.506607E-20,1.140683E-19,2.444861E-21,1.952097E-10,1.495399E-13,9.329817E-20,5.16798E-21,2.806461E-22,4.153334E-24,2.295602E-23,3.245535E-29,1.246229E-30,1.22918E-36,5.59085E-39,1.969479E-20,2.843969E-21,4.495225E-28,5.895808E-30,2.350403E-27,1.715885E-26,3.366794E-12,1.629579E-24,6406329,1.483367,52766120,842.2047
0.065,1,2423.421,1.374639,0.9451996,5.970363E-23,0,4.649025E-05,0.0001247177,0.0006896841,0.01853821,0.0005314076,0.001352056,1.214944E-07,6.752807E-10,0.00267876,0.03083896,8.986211E-16,3.964584E-18,3.340314E-19,2.499643E-20,1.136417E-19,2.437415E-21,1.943919E-10,1.490807E-13,9.278305E-20,5.1371E-21,2.793657E-22,4.128164E-24,2.420441E-23,3.148843E-29,1.222173E-30,1.241529E-36,5.579648E-39,1.96302E-20,2.835929E-21,4.469449E-28,5.853441E-30,2.337486E-27,1.788576E-26,3.365178E-12,1.625174E-24,6406346,1.483362,52766120,840.7125
0.066,1,2423.516,1.374688,0.9452027,7.901302E-23,0,4.642182E-05,0.0001243921,0.0006883837,0.01853667,0.0005310239,0.001352485,1.213543E-07,6.740823E-10,0.002674308,0.03084352,8.965942E-16,3.952357E-18,3.331602E-19,2.493104E-20,1.132404E-19,2.430397E-21,1.936248E-10,1.486496E-13,9.230041E-20,5.108174E-21,2.78165E-22,4.108456E-24,2.682885E-23,2.991993E-29,1.185905E-30,1.276438E-36,5.607889E-39,1.956926E-20,2.828517E-21,4.445097E-28,5.818709E-30,2.325382E-27,1.94293E-26,3.363659E-12,1.621033E-24,6406363,1.483358,52766120,839.3089
