"time(s), volume(cm3)",
0.2188,1.560355319
0.2192,1.560826059
0.2196,1.561207234
0.22,1.561562151
0.2204,1.561980494
0.2208,1.5625053
0.2212,1.563076398
0.2216,1.563568103
0.222,1.563905021
0.2224,1.564107361
0.2228,1.564286372
0.2232,1.564533337
0.2236,1.564875141
0.224,1.56525701
0.2244,1.565606553
0.2248,1.565889477
0.2252,1.566148835
0.2256,1.566455879
0.226,1.56684452
0.2264,1.567313625
0.2268,1.567808255
0.2272,1.568279269
0.2276,1.568727036
0.228,1.569161705
0.2284,1.569600897
0.2288,1.570053953
0.2292,1.570475827
0.2296,1.570824945
0.23,1.571062255
0.2304,1.571198082
0.2308,1.571298154
0.2312,1.571448937
0.2316,1.571731395
0.232,1.57215426
0.2324,1.572668676
0.2328,1.573175988
0.2332,1.573601386
0.2336,1.573921916
0.234,1.57419037
0.2344,1.57444976
0.2348,1.574713738
0.2352,1.574952336
0.2356,1.575135372
0.236,1.575306632
0.2364,1.575557426
0.2368,1.575978056
0.2372,1.576567487
0.2376,1.577194986
0.238,1.577697982
0.2384,1.577984231
0.2388,1.578121376
0.2392,1.578282798
0.2396,1.578609955
0.24,1.57913671
0.2404,1.579730087
0.2408,1.580251617
0.2412,1.580610038
0.2416,1.580849084
0.242,1.5810669
0.2424,1.581353125
0.2428,1.581696821
0.2432,1.582060503
0.2436,1.582391044
0.244,1.582667047
0.2444,1.582902228
0.2448,1.583110192
0.2452,1.583299883
0.2456,1.583498859
0.246,1.583735827
0.2464,1.58404423
0.2468,1.58444416
0.2472,1.584900429
0.2476,1.585367757
0.248,1.585781994
0.2484,1.586111189
0.2488,1.586358154
0.2492,1.586567108
0.2496,1.586806607
0.25,1.587123953
0.2504,1.587525467
0.2508,1.587957847
0.2512,1.588350658
0.2516,1.588676433
0.252,1.588953322
0.2524,1.589228789
0.2528,1.589515072
0.2532,1.589786259
0.2536,1.589986914
0.254,1.590129425
0.2544,1.590278189
0.2548,1.590497368
0.2552,1.59082717
0.2556,1.591224609
0.256,1.591620731
0.2564,1.591964862
0.2568,1.592243014
0.2572,1.592478246
0.2576,1.592701258
0.258,1.592938176
0.2584,1.593224393
0.2588,1.593596984
0.2592,1.59407148
0.2596,1.594611016
0.26,1.595149482
0.2604,1.595587879
0.2608,1.59589374
0.2612,1.596068307
0.2616,1.596176492
0.262,1.596284694
0.2624,1.59643154
0.2628,1.596632577
0.2632,1.596866075
0.2636,1.597127613
0.264,1.597387636
0.2644,1.597647752
0.2648,1.597915703
0.2652,1.598211637
0.2656,1.598571289
0.266,1.599011811
0.2664,1.59950381
0.2668,1.599974352
0.2672,1.600342642
0.2676,1.600566512
0.268,1.600683136
0.2684,1.60079356
0.2688,1.600972424
0.2692,1.601229157
0.2696,1.601507806
0.27,1.601741335
0.2704,1.601964075
0.2708,1.602258582
0.2712,1.602684143
0.2716,1.603233225
0.272,1.603810852
0.2724,1.60430453
0.2728,1.60467657
0.2732,1.604967449
0.2736,1.605245928
0.274,1.605555835
0.2744,1.605887794
0.2748,1.606213623
0.2752,1.606530206
0.2756,1.606826528
0.276,1.607097873
0.2764,1.607333227
0.2768,1.607521567
0.2772,1.60766599
0.2776,1.607791599
0.278,1.607923511
0.2784,1.608082151
0.2788,1.608291107
0.2792,1.608562995
0.2796,1.608902604
