#SpecName      Dummy     eps/k     sigma     Dummy     Dummy     Dummy
C12KET-T6           0   789.160     7.060     0.000     0.000     0.000
C12KET-T7           0   789.160     7.060     0.000     0.000     0.000
A2R5C2H*           0   772.800     6.940     0.000     0.000     0.000
A3R5-              0   837.500     7.280     0.000     0.000     0.000
A2R5C2H            0   772.800     6.940     0.000     0.000     0.000
A3*-C14H9           0   772.000     6.960     0.000     0.000     0.000
A4-C16H10           0   834.900     7.240     0.000     0.000     0.000
A4R5               0   834.900     7.240     0.000     0.000     0.000
A4--C16H9           0   834.900     7.240     0.000     0.000     0.000
MP3J               0   430.100     5.833     0.000     0.000     0.000
C3H6CHO-2           0   464.200     5.009     0.000     0.000     0.000
C3H6CHO-1           0   464.200     5.009     0.000     0.000     0.000
S-C3H5CO           0   464.200     5.009     0.000     0.000     0.000
MBMO               0   464.153     6.041     0.000     0.000     0.000
MBMDO              0   585.588     5.926     0.000     0.000     0.000
MB4O               0   464.153     6.041     0.000     0.000     0.000
MB4DO              0   585.588     5.926     0.000     0.000     0.000
MB2OO              0   633.904     6.199     0.000     0.000     0.000
MB3OO              0   523.600     5.960     0.000     0.000     0.000
MB4OO              0   523.600     5.960     0.000     0.000     0.000
MBMOO              0   523.600     5.960     0.000     0.000     0.000
MB2OOH4J           0   635.008     7.159     0.000     0.000     0.000
MB3OOH2J           0   635.008     7.159     0.000     0.000     0.000
MB3OOHMJ           0   635.008     7.159     0.000     0.000     0.000
MB4OOH3J           0   635.008     7.159     0.000     0.000     0.000
MB4OOHMJ           0   633.904     6.199     0.000     0.000     0.000
MB4OOH2J           0   635.008     7.159     0.000     0.000     0.000
MBMOOH3J           0   635.008     7.159     0.000     0.000     0.000
MBMOOH2J           0   635.008     7.159     0.000     0.000     0.000
MBMOOH4J           0   633.904     6.199     0.000     0.000     0.000
MB3D               0   428.728     5.766     0.000     0.000     0.000
MB2OOH             0   637.844     7.183     0.000     0.000     0.000
MB3OOH             0   637.844     7.183     0.000     0.000     0.000
MB4OOH             0   637.844     7.183     0.000     0.000     0.000
MBMOOH             0   637.844     7.183     0.000     0.000     0.000
MBCY3O2            0   585.588     5.926     0.000     0.000     0.000
MBCY4O3            0   585.588     5.926     0.000     0.000     0.000
MBCY4O2            0   585.588     5.926     0.000     0.000     0.000
MBCY2OM            0   585.588     5.926     0.000     0.000     0.000
MBCY3OM            0   585.588     5.926     0.000     0.000     0.000
MMCYMOO1           0   505.266     5.448     0.000     0.000     0.000
N-C3H7COOO           0   546.562     5.698     0.000     0.000     0.000
N-C3H7COOOH           0   549.655     5.716     0.000     0.000     0.000
MP3DO2D            0   537.205     5.642     0.000     0.000     0.000
C2H5COCO           0   454.000     5.413     0.000     0.000     0.000
CHOCO2J            0   436.000     3.970     0.000     0.000     0.000
CH3COCH2CO           0   496.000     5.200     0.000     0.000     0.000
ME2JDO             0   399.449     5.532     0.000     0.000     0.000
COCO               0   383.705     4.659     0.000     0.000     0.000
MPMDO2D            0   537.205     5.642     0.000     0.000     0.000
MPMJDO2D           0   534.060     5.623     0.000     0.000     0.000
C2H3CO2            0   440.433     5.039     0.000     0.000     0.000
MBMOOH3O2           0   718.267     6.656     0.000     0.000     0.000
MBMOOH4O2           0   718.267     6.656     0.000     0.000     0.000
MB2OOH4O2           0   721.174     7.899     0.000     0.000     0.000
MB3OOHMO2           0   718.267     6.656     0.000     0.000     0.000
MB4OOH2O2           0   721.174     7.899     0.000     0.000     0.000
MB4OOHMO2           0   718.267     6.656     0.000     0.000     0.000
MBKET42            0   676.324     7.516     0.000     0.000     0.000
MB3MOOH2J           0   718.267     6.656     0.000     0.000     0.000
MBKET3M            0   674.380     6.421     0.000     0.000     0.000
MB3MOOH4J           0   718.267     6.656     0.000     0.000     0.000
MB24OOHMJ           0   718.267     6.656     0.000     0.000     0.000
MBKET24            0   676.324     7.516     0.000     0.000     0.000
MB42OOHMJ           0   718.267     6.656     0.000     0.000     0.000
